Type,Location,Date,CrashesInYear,CrashesInPlace,FailureRate
Douglas C-54A-DC,Montana,1960,17,8,1
Douglas C-54B,Alaska,1959,17,26,3
Douglas C-54B,Washington,1957,10,11,3
Douglas C-54B-10-DO,Washington,1953,11,11,1
Douglas C-54B-15-DO,Maryland,1947,11,6,1
Douglas DC-2,Florida,1937,6,12,1
Douglas DC-2-112,Oklahoma,1939,2,3,6
Douglas DC-2-112,Pennsylvania,1936,5,14,6
Douglas DC-2-112,Pennsylvania,1937,6,14,6
Douglas DC-3,Brazil,1957,10,12,53
Douglas DC-3,California,1944,4,43,53
Douglas DC-3,California,1969,14,43,53
Douglas DC-3,Ethiopia,1960,17,3,53
Douglas DC-3,Georgia,1941,5,6,53
Douglas DC-3,Indiana,1977,7,5,53
Douglas DC-3,Indonesia,1961,14,18,53
Douglas DC-3,Indonesia,1961,14,18,53
Douglas DC-3,Iowa,1951,12,8,53
Douglas DC-3,Iowa,1954,8,8,53
Douglas DC-3,Minnesota,1941,5,6,53
Douglas DC-3,Nevada,1942,6,5,53
Douglas DC-3,New Hampshire,1954,8,2,53
Douglas DC-3,New York,1945,9,32,53
Douglas DC-3,Philippines,1964,14,16,53
Douglas DC-3,Philippines,1965,18,16,53
Douglas DC-3,Tennessee,1959,17,4,53
Douglas DC-3,Texas,1953,11,13,53
Douglas DC-3,Utah,1940,3,9,53
Douglas DC-3,Virginia,1945,9,11,53
Douglas DC-3,Virginia,1959,17,11,53
Douglas DC-3,Wyoming,1937,6,8,53
Douglas DC-3,Wyoming,1946,13,8,53
Douglas DC-3 ( C-53D-DO),California,1946,13,43,1
Douglas DC-3 (C-47-A5-DL),Nevada,1946,13,5,1
Douglas DC-3 (C-53D-DO),Ohio,1946,13,9,1
Douglas DC-3 -201D/ F-6-F- 5 Hellcat,New Jersey,1949,6,5,1
Douglas DC-3-194H,Wyoming,1946,13,8,1
Douglas DC-3-201E,Connecticut,1946,13,4,1
Douglas DC-3-313A,D.C.,1949,6,2,1
Douglas DC-3A,Peru,1943,6,8,5
Douglas DC-3A,Utah,1942,6,9,5
Douglas DC-3C,Alaska,1949,6,26,2
Douglas DC-3C (C47A-DL),Venezuela,2001,25,8,1
Douglas DC-4,18 NNW of Benton Harbor,1950,7,1,8
Douglas DC-4,Illinois,1948,7,14,8
Douglas DC-4,Massachutes,1964,14,1,8
Douglas DC-4,Puerto Rico,1952,7,5,8
Douglas DC-4,Wyoming,1955,11,8,8
Douglas DC-4  (C-54-10-DO),California,1953,11,43,1
Douglas DC-4 (C-54G-1-DO),Alaska,1948,7,26,1
Douglas DC-4 /Beechcraft SMB-1,Florida,1951,12,12,1
Douglas DC-4-1009,Greece,1947,11,5,2
Douglas DC-4A,Alaska,1947,11,26,1
Douglas DC-6,California,1953,11,43,5
Douglas DC-6,Pennsylvania,1948,7,14,5
Douglas DC-6,Texas,1949,6,13,5
Douglas DC-6-54B,Colombia,1966,18,12,1
Douglas DC-6A,325 miles east of Wake Island,1953,11,1,4
Douglas DC-6A,Washington,1965,18,11,4
Douglas DC-6B,Bolivia,1963,17,2,11
Douglas DC-6B,British Columbia,1965,18,8,11
Douglas DC-6B,California,1953,11,43,11
Douglas DC-6B,Chile,1965,18,4,11
Douglas DC-6B,Zimbabwe,1958,9,1,11
Douglas DC-6B,near Ft. Collins,1951,12,1,11
Douglas DC-7 / Lockheed S Constellation,Arizona,1956,10,3,1
Douglas DC-7B,New York,1962,17,32,3
Douglas DC-7B,New York,1965,18,32,3
Douglas DC-7CF,116 miles WSW of Annette Island,1963,17,1,1
Douglas DST-A-207A,Ohio,1938,6,9,2
Embraer 110 Bandeirante,Vermont,2006,11,1,1
Embraer 110 P1 Bandeirante,England,1995,19,7,1
Embraer 110P1 Bandeirante,Canada,1997,25,13,5
Embraer 110P1 Bandeirante,Florida,1984,5,12,5
Embraer 110P1 Bandeirante,South Africa,1988,18,3,5
Embraer 120ER Brasilia,Brazil,2004,18,12,1
Embraer 120RT Brasilia,Michigan,1997,25,10,2
Embraer 120RT- Brasilia,Georgia,1991,13,6,1
Embraer EMB-120 Brasilia,Spain,2002,24,11,1
Fairchild F-27,Philippines,1968,17,16,2
Fairchild F-27A,Nevada,1964,14,5,2
Fairchild F-27B,Alaska,1968,17,26,2
Fairchild F-27B,Alaska,1975,5,26,2
Fairchild-Hiller FH-227-B,New York,1972,17,32,1
Fairchild-Hiller FH-227B,Missouri,1973,15,9,3
Fairchild-Hiller FH227C,New Hampshire,1968,17,2,1
Fokker 100,Macedonia,1993,15,2,4
Fokker 50,Luxembourg,2002,24,1,2
Fokker F-27 Friendship 100,Philippines,1967,18,16,2
Fokker F-27 Friendship 200,Pakistan,2003,20,4,2
Fokker F-27 Friendship 200,Pakistan,2006,11,4,2
Fokker F-27 Friendship 400M,Ivory Coast,1994,21,2,1
Fokker F-27 Friendship 600,Ghana,2000,25,1,4
Fokker F-27 Friendship 600,Myanmar,1998,20,2,4
Fokker F-28 Fellowship 1000,near Natanz,1994,21,1,3
Fokker F-28 Fellowship 4000,Netherlands,1981,6,4,2
Fokker F27 Friendship 100,Philippines,2002,24,16,1
Ford 5-AT-C Tri Motor,California,1930,1,43,1
Grumman G-159 Gulfstream I,Maine,2000,25,3,2
Grumman G-159 Gulfstream I,Tennessee,1985,16,4,2
Grumman G73T Turbo Mallard,Florida,2005,14,12,1
Hadley Page 137Jetstream I / Cessna 206,Colorado,1981,6,11,1
Handley Page HP-81 Hermes IV,Mauritania,1952,7,1,1
Harbin Yunshuji Y-12-II,Laos,2000,25,1,1
Hawker Siddeley HS-121 Trident 2E,Hong Kong,1988,18,1,1
Hawker Siddeley HS-748-501 Super 2B,Nepal,1999,28,6,1
Hawker Siddeley HS-748-FAA,Illinois,1983,11,14,1
Hawker Siddeley Trident 2E,Guangxi,1982,12,2,1
Ilyushin 18V,Russia,2001,25,25,1
Ilyushin IL- 76TD,Russia,2001,25,25,1
LET 410UVP,Mexico,2001,25,7,1
LET 410UVP-E,Guatemala,2001,25,2,1
Learjet 24D,Texas,2001,25,13,1
Learjet 25B,Texas,2003,20,13,1
Lockheed 049 Constellation,Bulgaria,1955,11,1,4
Lockheed 1011-200 TriStar,Saudi Arabia,1980,7,3,1
Lockheed 1049C Super Constellation,Indonesia,1957,10,18,1
Lockheed 1049C-55-81 S Constellation,Ireland,1954,8,4,1
Lockheed 1049G Super Constellation,Senegal,1960,17,1,1
Lockheed 1049H Super Constellation,100 miles W of Galway Bay,1958,9,1,4
Lockheed 1049H Super Constellation,California,1962,17,43,4
Lockheed 14-H Super Electra,Montana,1939,2,8,1
Lockheed 14H Super Electra,Montana,1938,6,8,1
Lockheed 188A Electra,Guam,1976,10,3,4
Lockheed 188A Electra,Huanuco,1971,12,1,4
Lockheed 188C Electra,10 mile SE of Tell City,1960,17,1,2
Lockheed 188C Electra,Oklahoma,1966,18,3,2
Lockheed 749A Constellation,Egypt,1950,7,6,3
Lockheed 749A Constellation,Peru,1966,18,8,3
Lockheed 749C-79-12 Constellation,Florida,1955,11,12,1
Lockheed L-049-46 Constellation,Ireland,1948,7,4,1
Lockheed L-100-30 Hercules,Italy,2006,11,16,2
Lockheed L-1011 TriStar1,Florida,1972,17,12,1
Lockheed L-188A Electra,Nevada,1985,16,5,1
Lockheed L-188C Electra,Egypt,1961,14,6,2
Lockheed L-188C Electra,Indonesia,1967,18,18,2
Lockheed L188A Electra,Texas,1968,17,13,1
MD Douglas DC-9-31/Piper Cherokee PA-28,Indiana,1969,14,5,1
MD-87 / Cessna 525A Citation II,Italy,2001,25,16,1
MDonnell Douglas MD-81,Sweden,1991,13,2,1
Martin 202,Minnesota,1950,7,6,6
Martin 202,Montana,1950,7,8,6
Martin 404,New Mexico,1955,11,1,5
Martin 404,New York,1963,17,32,5
Martin 404,Pennsylvania,1956,10,14,5
Martin M-130 (flying boat),California,1943,6,43,3
McDonnell Douglas DC-10-10,Los Angeles,1978,11,2,6
McDonnell Douglas DC-10-30,Guatemala,1999,28,2,6
McDonnell Douglas DC-10-30,Libya,1989,21,2,6
McDonnell Douglas DC-10-30CF,Algarve,1992,16,1,3
McDonnell Douglas DC-10-30CF,Spain,1982,12,11,3
McDonnell Douglas DC-8 Super 62,Surinam,1989,21,1,1
McDonnell Douglas DC-8 Super 63PF,Newfoundland,1985,16,4,1
McDonnell Douglas DC-8-12,Colorado,1961,14,11,1
McDonnell Douglas DC-8-21,New Orleans,1964,14,1,2
McDonnell Douglas DC-8-21,New York (Idlewild),1961,14,1,2
McDonnell Douglas DC-8-43,Barbados,1976,10,1,4
McDonnell Douglas DC-8-43,Japan,1966,18,10,4
McDonnell Douglas DC-8-43,Sicily,1972,17,2,4
McDonnell Douglas DC-8-51,Louisiana,1967,18,3,1
McDonnell Douglas DC-8-61,Guantanamo Bay,1993,15,1,3
McDonnell Douglas DC-8-61,Japan,1982,12,10,3
McDonnell Douglas DC-8-61F,Florida,1997,25,12,1
McDonnell Douglas DC-8-62,California,1968,17,43,3
McDonnell Douglas DC-8-62,Russia,1972,17,25,3
McDonnell Douglas DC-8-63,Canada,1970,13,13,1
McDonnell Douglas DC-8-63AF,Japan,1970,13,10,1
McDonnell Douglas DC-8-63CF,Alaska,1970,13,26,2
McDonnell Douglas DC-8-71F,California,2000,25,43,1
McDonnell Douglas DC-8F-54F,Canada,1963,17,13,1
McDonnell Douglas DC-9-14,Colorado,1987,12,11,5
McDonnell Douglas DC-9-14,Wisconsin,1985,16,4,5
McDonnell Douglas DC-9-15RC,Ohio,1991,13,9,1
McDonnell Douglas DC-9-31,North Carolina,1974,11,7,6
McDonnell Douglas DC-9-31 / Trident 3B,Hrvatska,1976,10,1,1
McDonnell Douglas DC-9-32,Covington/Hebron,1983,11,2,12
McDonnell Douglas DC-9-32,Czechoslovakia,1972,17,2,12
McDonnell Douglas DC-9-32,Philippines,1998,20,16,12
McDonnell Douglas DC-9-32,Sicily,1978,11,2,12
McDonnell Douglas DC-9-32,Uruguay,1997,25,1,12
McDonnell Douglas MD-11,China,1999,28,12,4
McDonnell Douglas MD-11,Nova Scotia,1998,20,2,4
McDonnell Douglas MD-82,Arkansas,1999,28,3,8
McDonnell Douglas MD-82,China,1993,15,12,8
McDonnell Douglas MD-82,Michigan,1987,12,10,8
McDonnell Douglas MD-82,Spain,2008,9,11,8
McDonnell Douglas MD-88,Florida,1996,20,12,1
McDonnell Douglas MD-90-30,Taiwan,1999,28,9,1
McDonnell-Douglas MD-82,Indonesia,2004,18,18,1
Mitsubishi MU-2B-60,Iowa,1993,15,8,1
NAMC YS-11A-227,Japan,1971,12,10,1
NAMC-YS-11-111,Japan,1966,18,10,1
Piper PA-31-350,South Africa,1999,28,3,2
Piper PA-31-350 Navajo,Alaska,2000,25,26,4
Piper PA-31-350 Navajo,Arizona,1995,19,3,4
Piper PA-31-350 Navajo,England,2000,25,7,4
Piper PA-31-350 Navajo Chieftain,New Brunswick,1996,20,1,4
Saab 340B,Switzerland,2000,25,5,2
Saab340B,Taiwan,1998,20,9,1
Sikorsky S-42 (flying boat),U.S. Samoa,1938,6,1,2
Stinson  SM-6000B,Missouri,1934,1,9,1
Sud Aviation Caravelle 1,Turkey,1960,17,8,1
Sud-Aviation Caravelle 10-R,Spain,1973,15,11,1
Sud-Aviation Caravelle III,Aargau,1963,17,1,2
Sud-Aviation Caravelle VI-R,Spain,1972,17,11,1
Swear. SA-227CC Metro 23/Piper Navajo,Ontario,1995,19,3,1
Swearingen SA-226AT Merlin IV,Spain,2001,25,11,1
Swearingen SA-226T Metro II,Kenya,2003,20,3,1
Swearingen SA-226TC / Mooney M-20C,Utah,1987,12,9,1
Swearingen SA227-AC,North Carolina,1988,18,7,1
Swearingen SA227AT Merlin IVC,Washington,2003,20,11,1
Tupolev 134A-3,Russia,2004,18,25,1
Tupolev 154B-2,Russia,2004,18,25,1
Tupolev TU-104A,Kazakastan,1977,7,1,1
Tupolev TU-134A,Russia,1992,16,25,3
Tupolev TU-134A,Yugoslavia,1971,12,1,3
Tupolev TU-154,China,1999,28,12,3
Tupolev TU-154,Iran,2002,24,2,3
Tupolev TU-154B,Kasakastan,1980,7,1,3
Tupolev TU-154B,Russia,1995,19,25,3
Tupolev TU-154B-2,Uzbekistan,1985,16,2,1
Tupolev TU-154M,China,1994,21,12,5
Tupolev TU-154M,Ecuador,1998,20,4,5
Tupolev TU-154M,Russia,2001,25,25,5
Tupolev Tu-154M,Ukraine,2006,11,2,2
Vickers 813 Viscount,England,1994,21,7,1
Vickers Viscount 701C,Italy,1958,9,16,1
Vickers Viscount 708,France,1963,17,17,1
Vickers Viscount 720,WA,1968,17,1,1
Vickers Viscount 745D,Maryland,1962,17,6,5
Vickers Viscount 755D,Cuba,1958,9,4,1
Vickers Viscount 785D,Italy,1964,14,16,2
Vickers Viscount 818,South Africa,1967,18,3,1
Vickers Viscount 832,Australia,1966,18,2,1
Vickers Viscount 837,Russia,1960,17,25,1
Yakovlev 42D,Turkey,2003,20,8,1
Yakovlev YAK-40,Cuba,1990,14,4,3
Yakovlev YAK-40,Uzbekistan,2004,18,2,3
Yakovlev YAK-42,Greece,1997,25,5,2
Yakovlev YAK-42D,Macedonia,1993,15,2,3
Yakovlev YAK-42D,Venezuela,1999,28,8,3
Zeppelin LZ-129,New Jersey,1937,6,5,1
de Havilland Canada DHC-6 Twin Otter,St. Barthélémy,2001,25,1,1
de Havilland Canada DHC-6 Twin Otter 100,Connecticut,1970,13,4,1
de Havilland Canada DHC-6 Twin Otter 300,Canada,1996,20,13,13
de Havilland Canada DHC-6 Twin Otter 300,Colombia,1996,20,12,13
de Havilland Canada DHC-6 Twin Otter 300,Nepal,1995,19,6,13
de Havilland Canada DHC-6 Twin Otter 300,New Jersey,1976,10,5,13
de Havilland Canada DHC-6 Twin Otter 300,Norway,1982,12,4,13
de Havilland Canada DHC-6 Twin Otter 300,Samoa,1997,25,1,13
de Havilland Canada DHC-8-103,Thailand,1990,14,10,1
de Havilland Canada DHC-8-301,France,1993,15,17,1
de Havilland Comet 4B,Greece,1967,18,5,1
de Havilland DH106 Comet 1,Italy,1954,8,16,3
de Havilland DH106 Comet 1,Italy,1954,8,16,3
de Havilland DHC -6-100,Rhode Island,1982,12,1,1
de Havilland DHC-6 Twin Otter 300,Nepal,2004,18,6,2
