ID,Date,Location,Operator,Type,Aboard,Fatalities
59,02/21/1922,"Near Norfolk, Virginia",Military - U.S. Army Air Service,Dirigible Roma (airship),45,34
60,04/07/1922,"Grandvilliers, France",Daimler Airways / Grands Express Aeriens,de Havilland DH-18 / Farman F-60 Goliath,7,7
62,04/13/1922,"Brooklands, England",Vickers,Vickers Viking,3,3
63,10/01/1925,"Nittany Mt, Ohio",US Aerial Mail Service,De Havilland DH-4,1,1
64,06/03/1922,"Off Folkestone, Kent, England",Cie des Messageries Aeriennes,Bleriot Spad 27,3,3
65,07/26/1922,"Cadix, Spain",Grands Express Aeriens,Breguet 14,3,3
66,09/07/1922,"Indianapolis, Indiana",US Aerial Mail Service,De Havilland DH-4,1,1
68,10/25/1922,"Larache, Morocco",Grands Express Aeriens,Breguet 14,2,2
69,12/03/1922,"Fez, Morocco",Grands Express Aeriens,Breguet 14,1,1
70,01/10/1923,"Ajaccio, France",Amee de l'Air,Lioré-et-Olivier H-13,4,3
71,01/17/1923,"Barcelona, Spain",Grands Express Aeriens,Breguet 14,1,1
72,01/18/1923,"Cheyenne, Wyoming",US Aerial Mail Service,De Havilland DH-4,1,1
73,02/26/1923,"Meadville, Pennsylvania",US Aerial Mail Service,De Havilland DH-4,1,1
74,05/14/1923,"Monsures, France",Grands Express Aeriens,Farman F-60 Goliath,6,6
75,08/27/1923,"Bucharest, Romania",Campagnie France Roumaine,Blériot Spad 46,2,2
76,09/07/1923,"Colton, Ohio",US Aerial Mail Service,De Havilland DH-4,1,1
77,09/14/1923,"Berks, England",Daimler Airways,de Havilland DH-34,6,6
78,11/18/1923,Russia,CCCP,Junkers F-13,4,2
79,12/06/1923,"Castalia, Ohio",US Aerial Mail Service,De Havilland DH-4,1,1
80,12/23/1923,Over the Mediterranean Sea,Military - French Navy,Zeppelin Dixmunde (airship),52,52
81,12/24/1923,"Egbert, WY",US Aerial Mail Service,De Havilland DH-4,1,1
82,03/07/1924,"Grampian, Pennsylvania",US Aerial Mail Service,De Havilland DH-4,1,1
83,04/24/1924,Over the English Channel,KLM Royal Dutch Airlines,Fokker F.III,3,3
84,06/08/1924,"Barranquilla, Colombia",SCADTA,Junkers F-13,3,3
85,08/01/1924,United States,US Aerial Mail Service,De Havilland DH-4,1,1
87,12/21/1924,"Goshen, Indiana",US Aerial Mail Service,De Havilland DH-4,1,1
88,12/24/1924,"Purley, England",Imperial Airways,de Havilland DH-34B,8,8
89,03/22/1925,"Near Tiflies, Georgia, USSR",Zakavia,Junkers F-13,5,5
90,04/25/1925,"Alicante, Spain",Grands Express Aeriens,Breguet 14,4,4
91,05/25/1925,"Alicante, Spain",Lignes Aeriennes Latecoere,Breguet 14,2,2
92,06/25/1925,"Landrécies, France",KLM Royal Dutch Airlines,Fokker (KLM)  F.III,4,4
93,06/26/1925,"Alicante, Spain",Grands Express Aeriens,Lioré-et-Olivier H-13,2,2
94,07/20/1925,"Rosas, Spain",Lignes Aeriennes Latecoere,Breguet 14,1,1
95,07/24/1925,"Budapest, Hungary",CIDNA,Potez IX,1,1
96,09/03/1925,"Caldwell, Ohio",Military - U.S. Navy,Dirigible ZR-1 Shenandoah (airship),43,14
98,11/14/1925,"Off Boulogne-sur-Mer, France",Air Union,Farman F-60 Goliath,2,2
99,02/12/1926,"Montpelier, Ohio",US Aerial Mail Service,Curtiss Carrier Pigeon,1,1
100,03/08/1926,"Staaken, Germany",Deutche Lufthansa,Junkers F-13,1,1
101,05/31/1926,English Channel,Air Union,Breguet 14,1,1
102,07/03/1926,"Rossaugpt, Czechoslovakia",Compagnie Internationale de Navigation Aérienne,Caudron C-61,7,7
103,07/09/1926,"Wolvertem, Belgium",KLM Royal Dutch Airlines,Fokker F-4,2,2
104,07/24/1926,"Juist, Germany",Deutsche Lufthansa,Junkers F-13,4,4
105,08/18/1926,"Hurst, Kent, England",Air Union,Bleriot 155,4,4
107,10/08/1926,"Bueren, Germany",Deutsche Lufthansa,Fokker FG III,4,4
108,10/21/1926,English Channel,Imperial Airways,Handley Page W-10,12,0
109,11/11/1926,"Cape Bojador, Morocco",Grands Express Aeriens,Breguet 14,3,3
110,12/16/1926,"Medford, Oregon",PacifiAir Transport,Ryan M-1,1,1
111,01/12/1927,"Lille, France",KLM Royal Dutch Airlines,Fokker F-VII,2,2
112,03/20/1927,"Rabat, Morocco",Grands Express Aeriens,Breguet 14,1,1
113,03/24/1927,"Tambo, Qld, Australia",Qantas,de Havilland DH-9C,3,3
115,04/22/1927,"Goshen, Indiana",US Aerial Mail Service,Douglas M-4,1,1
116,04/22/1927,"Floh, Germany",Deutsche Lufthansa,Fokker FG III,2,2
117,05/02/1927,"Algiers, Algeria",Air Union,SPCA Meteore 63,3,1
118,07/27/1927,"Amoneburg, Germany",Deutsche Lufthansa,Junkers F-13,5,5
119,08/22/1927,"Sevenoaks, England",KLM Royal Dutch Airlines,Fokker F-VIII,11,1
120,09/03/1927,"Willington, Connecticut",Colonial Air Transport,Fokker Universal,1,1
121,09/17/1927,"Hadley, New Jersey",Reynolds Airways,Fokker F-VII,12,7
122,09/22/1927,"Saale, Germany",Deutsche Lufthansa,BFW M-18,4,2
123,09/23/1927,"Schleiz, Germany",Deutsche Lufthansa,Dornier Merkur,6,6
124,10/06/1927,"Thies, Mauritania",Lignes Aeriennes Latecoere,Breguet 14,2,2
125,10/30/1927,"New Brunswick, New Jersey",Colonial Air Transport,Fairchild FC-2,4,4
126,11/16/1927,"Strasburg, France",CIDNA,Farman F-121 Jabiru,1,1
127,11/16/1927,Over the Gulf of Finland,Aero O-Y,Junkers F-13,6,6
128,11/29/1927,"Corunna, Indiana",National Air Transport,Douglas M-4,1,1
129,12/26/1927,"Almeria, Spain",Aeropostale,Breguet 14,2,2
130,12/28/1927,"Abuerio, Spain",Aeropostale,Breguet 14,1,1
131,12/31/1927,France,Latecoere Airlines,Latécoère 23,4,4
132,01/08/1928,"Near Canajoharie, New York",Colonial Western Airlines,Fairchild FC-2,3,3
133,01/16/1928,"Solis, Uruguay",Aeropostale,Latecoere 25,2,2
134,01/22/1928,"Tarragona, Spain",Aeropostale,Breguet 14,2,2
135,01/22/1928,France,Aeropostale,Breguet 14,2,1
136,01/27/1928,"Almeria, Spain",Aeropostale,Breguet 14,1,1
137,02/26/1928,"Marquette, Nebraska",Boeing Air Transport,Boeing 40,2,1
139,03/11/1928,"Off Cape Griz Nez, France",Air Union,Farman F-60 Goliath,2,2
140,04/17/1928,"Federal, Wyoming",Boeing Air Transport,Boeing 40,2,1
141,04/19/1928,"Minuesa, Spain",Iberia Airlines,Rohrbach Roland,9,9
143,05/12/1928,"Dearborn, Minnesota",Ford Air Freight Inc.,Ford 4,2,2
144,05/26/1928,"Radevormwald, Germany",Deutsche Lufthansa,Junkers F-13,5,3
145,06/14/1928,"Frankfurt, Germany",Deutsche Lufthansa,AEGK,5,5
146,06/22/1928,"Lebo, Kansas",National Air Transport,Douglas M-4,1,1
147,07/10/1928,Over the Gulf of Finland,Aero O-Y,Junkers F-13,6,6
148,07/13/1928,"Purley, England",Imperial Airways,Vickers 74 Vulcan,4,4
149,07/24/1928,"Waalhaven harbor, Netherlands",KLM Royal Dutch Airlines,Fokker (KLM) F.III,1,1
150,08/25/1928,"Near Port Townsend, BC, Canada",British Columbia Airways,Ford 4-AT-B Tri Motor,7,7
151,09/02/1928,"Toul, France",CIDNA,Bleriot Spad 56,3,3
152,09/04/1928,"Adelaide Hills, Australia",Qantas,de Havilland DH.50J,2,1
153,09/04/1928,"Pocatello, Idaho",National Parks Airways,Fokker Super Universal,7,7
154,09/06/1928,"Heroldbach, Germany",Deutsche Lufthansa,Fokker FG III,3,3
155,10/04/1928,"Gerona, Spain",Aeropostale,Breguet 14,3,3
156,10/18/1928,"Polk, Pennsylvania",National Air Transport,Douglas M-4,1,1
157,10/31/1928,"Valence, France",Air Union,Bleriot Spad 56,2,1
158,11/15/1928,Off Gibraltar,Aeropostale,Latecoere 32,2,1
159,11/24/1928,"Edgerton, Ohio",Universal Airlines,Hamilton H-47,3,3
160,11/25/1928,"Bristolville, Ohio",National Air Transport,Douglas M-4,1,1
161,11/25/1928,"Edgerton, Ohio",Continental Air Lines,Travel Air 4000,3,3
162,12/01/1928,"Spur, Texas",Sunbeam Air Transport Co.,Ford 4-AT-B Tri Motor,5,5
163,12/03/1928,Brazil,Syndicato Condor,Dornier Wal,14,14
165,12/11/1928,"Letzlingen, Germany",Deutsche Lufthansa,Junkers G-31,4,3
166,12/20/1928,"Huron, Ohio",National Air Transport,Douglas M-4,1,1
167,12/23/1928,"Chattanooga, Tennessee",Interstate Airlines,Fairchild FC-2,4,4
168,12/31/1928,"Reims, France",CIDNA,Blériot Spad 66,3,2
169,01/05/1929,"Stafford Springs, Connecticut",Colonial Air Transport,Fairchild FC-2,1,1
170,01/18/1929,"Cove, Oregon",Varney Air Lines,Stearman C-38,1,1
171,01/25/1929,"Near Corfu, Greece",Aeroespresso,CMASA Wal,9,2
172,01/31/1929,"Morgantown, West Virginia",Skyline Transportation Company,Travel Air 4000,1,1
173,01/31/1929,Off Morocco,Aeropostale,Latecoere 26,2,2
174,03/17/1929,"Newark, New Jersey",Colonial Western Airlines,Ford 5-AT-B Tri Motor,15,14
175,03/30/1929,"Near Beaumont, California",New Standard Airlines,Fokker F-VIIA,4,4
176,04/21/1929,"San Diego, California",Maddux Airlines / Military - U.S.Army Air Force,Ford 5-AT-B Tri-Motor / B-PW-9D,6,6
177,05/18/1929,Hungary,MALERT,Fokker F-III,2,2
178,05/22/1929,Algiers,Aeropostale,Cams 53,5,4
179,06/10/1929,"Santiago de Cuba, Cuba",Pan American Airways,Fokker F-X,5,2
180,06/14/1929,"Barcelona, Spain",Aeropostale,Breguet 14,2,1
181,06/17/1929,"Off Dungeness, England",Imperial Airways,Handley Page W-10,13,7
182,06/24/1929,"St. Paul, Minnesota",Northwest Orient Airlines,Ford 5-AT-B Tri-Motor,8,1
183,06/29/1929,"Lake Constance, Switzerland",Aero Lloyd,Domier Delphin III,5,5
184,06/29/1929,"Columbus, Ohio",Continental Air Lines,Travel Air 4000,1,1
185,08/11/1929,"Clovis, New Mexico",Middle States Airlines,Lockheed Vega,4,4
186,08/13/1929,"Perpignan, France",Aeropostale,Breguet 14,1,1
187,08/24/1929,"Sochi, Russia",Ukvozduchput,Kalinin K-4,1,1
188,08/24/1929,"Elm, Germany",Deutsche Lufthansa,Fokker FG II,5,4
189,09/02/1929,"Needles, California",Associated Aviators,Lockheed Vega,2,1
190,09/03/1929,"Mt. Taylor, New Mexico",Trans Continental Air Transport,Ford 5-AT-B Tri Motor,8,8
191,09/06/1929,"Jask, Iran",Imperial Airways,de Havilland DH-66 Hercules,5,3
192,09/17/1929,"Off Larache, Morocco",Aeropostale,Latecoere 25-3-R,5,5
193,09/17/1929,"Jacumba, California",Pickwick Airways,Fairchild 71,2,1
194,09/17/1929,"Mt Lamentation, Connecticut",Colonial Air Transport,Pitcairn PA-6 Mailwing,1,1
195,10/26/1929,"Off Spezia, Italy",Imperial Airways,Short Calcutta,7,7
196,10/29/1929,"Mount Vernon, Ohio",Continental Air Lines,Stearman C-38,1,1
197,10/31/1929,"Off Bremerton, Washington",Bremerton-Seattle Air Taxi / Gorst Air Lines,Loening C-2C,2,2
198,11/04/1929,"Cerro del Carbon, Mexico",Corp. Aeronautica de Transportes,Lockheed Vega 5,4,4
199,11/06/1929,"Near Godstone, Surrey, England",Deutsche Lufthansa,Junkers G-24,8,7
200,11/15/1929,"Off Corsica, France",Air Union,Liore et Olivier 190,3,3
201,11/30/1929,"Vancouver, Washington",Varney Air Lines,Stearman M-2 Speedmail,1,1
202,12/02/1929,"Chagrin Falls, Ohio",National Air Transport,Douglas M-3,1,1
203,12/14/1929,Mediterranean Sea,Aeropostale,Bernard 192,3,3
204,12/19/1929,"Near Berlin, Germany",Deutsche Lufthansa,Arado V1,3,2
205,12/30/1929,"Amarillo, Texas",Trans Continental Air Transport,Travel Air B6000,5,5
206,01/10/1930,"Brawnson, Nebraska",Boeing Air Transport,Boeing 95,1,1
207,01/13/1930,"Antananarivo, Madagascar",Air Orient,Farman 190,3,3
208,01/19/1930,"Oceanside, California",Maddux Airlines,Ford 5-AT-C Tri Motor,16,16
209,01/25/1930,"Off Ceuta, Spain",Aeropostale,Latecoere 25,2,2
210,01/27/1930,"Kansas City, Kansas",Central  Airlines,Travel Air A6000A,5,5
211,02/03/1930,"Hartford, Connecticut",Colonial Air Transport,Pitcairn PA-6 Mailwing,1,1
212,02/10/1930,"Marden, England",Air Union,Farman F-63,2,2
213,04/18/1930,"Jersey City, New Jersey",Canadian Colonial Airways,Fairchild 71,4,4
214,05/10/1930,Buenos Aires,Aeropostale,Latecoere 28,4,3
215,06/05/1930,"Boston, Massachusetts",Colonial Air Transport,Ford Tri-Motor 5,15,1
216,07/07/1930,"Bornholm, Denmark",Deutsche Lufthansa,Dornier Wal,8,5
217,07/10/1930,"Arkansas Pass, Texas",Cross Airways,Lockheed Vega 5,5,5
218,08/22/1930,"Iglau, Czechoslovakia",Ceskoslovenske Aerolinie,Ford 5-AT-C Tri Motor,11,10
219,09/11/1930,"Croydon, England",Sabena,Sabca F-VII,2,2
221,10/05/1930,"Near Beauvais, France",Military - British Air Ministry,Royal Airship Works R-101,54,48
222,10/06/1930,"Dresden, Germany",Deutsche Lufthansa,Messerschmitt M-20B,8,8
223,10/12/1930,"La Rache, Morocco",Aeropostale,Latecoere 28,4,4
224,10/28/1930,"Prince Rupert, BC, Canada",Alaska-Washington Airways,Lockheed Vega,3,3
225,10/30/1930,"Near Neufchatel, France",Imperial Airways,Handley Page W-8,6,3
226,10/30/1930,"Brookston, Indiana",Embry Riddle Company,Pitcairn PA-6 Mailwing,1,1
227,11/07/1930,"Off of Santos, Brazil",Syndicato Condor,Junkers G-24,9,1
228,11/18/1930,"Techachapi Mountains, California",PacifiAir Transport,Boeing 40,3,3
229,12/09/1930,"Shanghai, China",China National Aviation Corporation,Loening C-W Air Yaht,6,4
230,01/08/1931,"Melle, Belgium",Sabena,Fokker F-VII,2,2
231,01/22/1931,"Bluff Mountain, Washington",Varney Air Lines,Boeing 40,1,1
232,02/08/1931,"Wairoa, New Zealand",Dominion Air Lines,Desoutter II,1,1
233,02/20/1931,"Bagot, Manitoba, Canada",Western Canada Airways,Fokker Universal F-14,3,2
234,02/24/1931,Off Spain,Aeropostale,Latecoere 32,3,1
235,03/21/1931,"New South Wales, Australia",Australian National Airways,Avro 10,8,8
236,03/31/1931,"Bazaar, Kansas",Trans Continental and Western Air,Fokker F10A Trimotor,8,8
237,04/14/1931,"Near Letschen, Germany",Deutsche Lufthansa,Messerschmitt M-20,10,2
238,05/05/1931,"Burbank, California",PacifiAir Transport,Boeing 40,2,2
239,05/22/1931,"Wampit, Australia",Guiena Airways,Junkers W-34,1,1
240,05/24/1931,"Bellefonte, Pennsylvania",National Air Transport,Boeing 95,1,1
241,06/07/1931,"Near Sandoway, Burma",Air Orient,Fokker F-VIIB,4,4
242,06/11/1931,"Walbridge, Ohio",Rubner Flying Service,Lockheed Vega 2,3,2
243,06/13/1931,"Saarbrucken, Germany",Deutsche Lufthansa,Dornier Merkur,4,4
244,07/12/1931,"Chicago, Illinois",Braniff Airlines,Lockheed Vega,2,2
245,07/14/1931,"Temora, Australia",Australian Aerial Services,Lasco Lascowl,2,2
246,07/21/1931,"Centralia, Illinois",American Airways,Pitcairn PA-6 Mailwing,1,1
247,07/24/1931,"Kurudjevo, Bulgaria",CIDNA,Fokker F-VII,7,7
248,08/09/1931,"Cincinnati, Ohio",American Airways,Ford 5-AT-C Tri Motor,6,6
249,09/14/1931,"Chicago, Illinois",Chicago-Detroit Airways,Lockheed Vega,1,1
250,09/16/1931,"Oakland, California",PacifiAir Transport,Boeing 40,4,4
251,10/06/1931,"Novia Scotia, Canada",Deutsche Lufthansa,Heinkel HE-2,3,3
252,10/14/1931,Brazil,Syndicato Condor,Dornier Wal,3,3
253,11/05/1931,"Camden, New Jersey","NY, Phil., Washington AW",Lockheed Orion 9,5,5
254,11/13/1931,"Sir Lowry's pass, South Africa",Union Airways,De Havilland DH.80,3,3
255,11/23/1931,"Salt Lake City, Utah",Boeing Air Transport,Boeing 40,1,1
256,11/24/1931,"Near Tsinan, China",China National Aviation Corporation,Stinson,3,3
257,11/26/1931,"Pasco, Washington",Varney Air Lines,Boeing 40,1,1
258,12/05/1931,"Kewanee, Illinois",Braniff Airways,Lockheed Vega 5,6,2
259,12/06/1931,"Bangkok, Thailand",KLM Royal Dutch Airlines,Fokker F-VIIb-3M,7,5
260,12/09/1931,Off Algiers,Aeropostale,CAMS 56,2,2
261,12/31/1931,"Springfield, Ohio",American Airways,Fairchild Pilgrim 100A,5,4
262,01/21/1932,"Colvin Park, Ilinois",Northwest Airways,Stinson SM-2A,1,1
263,01/29/1932,"Lebec, California",Century PacifiLines,Stinson SM-6000B,8,8
264,02/01/1932,"Off Miami, Florida",Bimini Airways,Fairchild,5,5
265,02/02/1932,"Marcellus, Michigan",Transamerican Airlines,Stearman C-3MB,1,1
266,02/02/1932,"Rio Vista, California",Boeing Air Transport,Boeing 40,2,1
267,02/27/1932,"Off Setiba, Brazil",Aeropostale,Latecoere 28,3,3
268,03/08/1932,"Saint Louis, Illinois",Century Air Lines,Stinson SM-6000B,5,2
269,03/19/1932,"Calimesa, California",American Airways,Fokker F-10A,7,7
270,03/21/1932,"Steubenville, Ohio",Trans Continental and Western Air,Northrop Alpha,1,1
271,03/29/1932,Syria,Air Orient,Farman F-190,3,3
272,03/31/1932,"Bedford, Ohio",National Air Transport,Boeing 95,1,1
273,04/21/1932,"Fort Wayne, Indiana",Transamerica Airlines,Stearman C-3MB,1,1
274,05/03/1932,"Portland, Oregon",Varney Air Lines,Boeing 40,2,2
275,05/16/1932,"Burbank, California",PacifiAir Transport,Boeing 40,3,3
276,07/16/1932,"Mount El Plomo, near Vitacura, Chile",Panagra,Ford 5-AT-C Tri Motor,9,9
277,08/12/1932,"Beyrouth, Lebanon",Air Orient,CAMS 53,7,1
278,08/30/1932,"Tubergen, Germany",A B Aerotransport,Junkers G-23,2,2
279,09/08/1932,"Salt Flats, Texas",American Airways,Fokker F-10,4,3
280,09/17/1932,"Selsdon Park, England",Air Union,Liore-et-Olivier 213,2,1
281,09/18/1932,"Byron Bay, Australia",New England Airways,De Havilland DH-80,3,3
282,10/12/1932,"Port Etienne, Mauritania",Aeropostale,Latecoere 28,1,1
283,10/26/1932,"Villa Monte, Bolivia",Lloyd Aero Boliviano,Ford Tri-motor 5,2,2
284,10/29/1932,"Ramsgate, England",Deutsche Lufthansa,Junkers W-33,2,2
285,11/02/1932,"Echterpfuhl, Germany",Deutsche Lufthansa,Junkers F-13,5,5
286,11/25/1932,"Marianna, Arkansas",Hunter Airways,Travel Air 6000,2,2
287,12/14/1932,"Amarillo, Texas",Trans Continental and Western Air,Ford 5,2,2
288,12/14/1932,"Rocky Ridge, Colorado",Boeing Air Transport,Boeing 40,1,1
289,12/26/1932,"Wau, Australia",Guinea Airways,De Havilland DH-60,2,2
290,01/10/1933,Algiers,Aeropostale,CAMS 53,1,1
291,01/14/1933,"Newark, New Jersey",Eastern Air Transport,Curtiss Condor 18,2,2
292,01/20/1933,"Marietta, Georgia",American Airways,Stearman 4,1,1
293,01/20/1933,"Bourne, Texas",American Airways,Stearman 4,1,1
294,01/24/1933,"Eugene, Oregon",PacifiAir Transport,Ford 5-AT-D,3,1
295,03/11/1933,"Near Mendoza, Argentina",Pan American Grace Airways,Fairchild FC-2W,2,2
296,03/25/1933,"Hayward, California",Varney Airlines,Lockheed Orion 9,3,3
297,03/28/1933,"Near Dixmude, Belgium",Imperial Airways,Armstrong Whitworth Argosy II,15,15
298,04/03/1933,"Hemkenrode, Germany",Deutsche Lufthansa,Junkers F-13,2,1
299,04/04/1933,"Off Barnegat, New Jersey",Military - U.S. Navy,Goodyear-Zeppelin U.S.S. Akron (airship),76,73
300,04/23/1933,"Mt. Terrione, Italy",Air Orient,Cams 33,6,6
301,04/29/1933,"Traunstein, Germany",Eurasia,Junkers W-34,4,4
302,05/09/1933,"Viladrau, Spain",Aeropostale - La Tecoere Company,Latecoere 28-1,6,6
303,06/02/1933,"Bowling Green, Virginia",Eastern Air Transport,Pitcairns PA-6,1,1
304,08/29/1933,"Quay, New Mexico",Trans Continental and Western Air,Ford 5-AT-B Tri Motor,5,5
305,09/12/1933,"Ljubljana, Yugoslavia",Aeroput,Farman F-306,8,8
306,10/10/1933,"Chesterton, Indiana",United Air Lines,Boeing 247-D,10,10
307,10/31/1933,"Etobon, France",Air France,Farman F-301,2,2
308,11/09/1933,"Portland, Oregon",United Air Lines,Boeing 247,9,4
309,11/10/1933,"Moriarty, New Mexico",Trans Continental and Western Air,Northrop Delta,1,1
310,11/20/1933,"Near Tsinan, China",China National Aviation Corporation,Sinson,8,8
311,11/21/1933,"Near Kharkov, Ukraine, USSR",Kalinin,Kalinin K-7,20,14
312,11/24/1933,"Wedron, Illinois",National Air Transport,Boeing 247,2,2
313,12/11/1933,"Hamburg, Germany",Deutsche Lufthansa,Focke-Wulf A-17,8,7
314,12/14/1933,"Eshowe, South Africa",Union Airways,Junkers W-34,6,4
315,12/30/1933,"Near Ruysselede, Belgium",Imperial Airways,Avro 10,10,10
316,01/15/1934,"Corbigny, France",Air France,Dewoitine D-332,14,14
317,01/20/1934,"Carombe, France",Air France,Breguet 280T,2,2
318,02/23/1934,"Near Salt Lake City, Utah",Boeing Aircraft Company,Boeing 247,8,8
319,02/26/1934,"Rio de Oro, Morocco",Air France,Latécoère 28,6,1
320,03/06/1934,"Petersburg, Illinois",American Airways,Fairchild Pilgrim 100A,4,4
321,03/10/1934,"Pereira, Colombia",Pan American Airways (Scadta),Sikorsky S-38 Flying Boat,6,5
322,03/22/1934,"Near Lima, Peru",Pan American Grace Airlines,Ford 5-AT-C Tri-Motor,15,3
323,04/10/1934,"Ningpo Bay, China",China National Aviation Corporation,Sikorsky S-38BB,3,3
324,05/09/1934,English Channel,Air France,Wibault 282T-12,6,6
325,05/31/1934,"Croydon, England",Air France,Liore-et-Olivier 213,2,2
326,06/09/1934,"Mongaup Mountain, New York",American Airways,Curtiss Condor T-32,7,7
327,06/11/1934,"Junin, Argentina",Panagra,Ford 5-AT-C Tri-Motor,10,5
328,06/22/1934,"Chausseehausen, Germany",Deutsche Lufthansa,Dornier Merkur,7,1
329,06/23/1934,"Burbank, California",Aerevias Centrales Air Service,Lockheed Orion,1,1
330,07/09/1934,"San Bernardino, California",United Air Services,Lockheed Vega,4,3
331,07/27/1934,"Near Tuttlingen, Germany",Swissair,Curtiss AT-32C Condor,12,12
