Type,Location,Date,CrashesInYear,CrashesInPlace,FailureRate
Beechcraft C99 / Rockwell 112TC,California,1984,5,43,1
Beechcraft E18S,Hawaii,1992,16,8,2
Beechcraft E18S,Louisiana,1973,15,3,2
Beechcraft H18,Hawaii,1989,21,8,1
Boeing - 377-10-29 Stratocruiser,Hawaii,1957,10,8,1
Boeing 247B,California,1937,6,43,1
Boeing 247D,Utah,1936,5,9,2
Boeing 247D,Wyoming,1935,3,8,2
Boeing 377 Stratocruiser 10-30,Washington,1956,10,11,1
Boeing 377-10-26 Stratocruiser,Brazil,1952,7,12,1
Boeing 707-123,New York,1959,17,32,1
Boeing 737-230,Indonesia,2005,14,18,1
Boeing 737-2B7,Nigeria,2006,11,7,1
Boeing 737-2J8C,Sudan,2003,20,3,1
Boeing 737-8F2,Netherlands,2009,6,4,1
Boeing B-314 (flying boat),Portugal,1943,6,2,1
Boeing B-707-121,Maryland,1963,17,6,1
Boeing B-707-121B,Antigua,1965,18,1,1
Boeing B-707-123B,New York,1962,17,32,1
Boeing B-707-124,Missouri,1962,17,9,2
Boeing B-707-124,Missouri,1965,18,9,2
Boeing B-707-131,Ohio,1967,18,9,1
Boeing B-707-320,Belgium,1961,14,2,1
Boeing B-707-321B,American Samoa,1974,11,1,5
Boeing B-707-321B,New York,1990,14,32,5
Boeing B-707-321B,Tahiti,1973,15,1,5
Boeing B-707-321C,Bali,1974,11,1,2
Boeing B-707-328C,Guadeloupe,1968,17,1,1
Boeing B-707-331,Italy,1964,14,16,1
Boeing B-707-331B,off Kefallinia,1974,11,1,3
Boeing B-707-345C,Orly,1973,15,1,1
Boeing B-707-366C,Thailand,1976,10,10,1
Boeing B-707-436,Mt. Fuji,1966,18,1,1
Boeing B-707-437,French Alps,1966,18,1,1
Boeing B-707-441,Peru,1962,17,8,1
Boeing B-720-051B,Florida,1963,17,12,1
Boeing B-720B-023B,Saudi Arabia,1976,10,3,1
Boeing B-727-113C,Horley,1969,14,1,1
Boeing B-727-134,Colombia,2002,24,12,1
Boeing B-727-193,Alaska,1971,12,26,1
Boeing B-727-200 / DC9-32,Spain,1983,11,11,1
Boeing B-727-21,Colombia,1989,21,12,2
Boeing B-727-21,N of  Santander,1988,18,1,2
Boeing B-727-212A,Brazil,1982,12,12,1
Boeing B-727-22,near Chicago,1965,18,1,2
Boeing B-727-22 / Cessna 310,North Carolina,1967,18,7,1
Boeing B-727-224,Egypt,1973,15,6,3
Boeing B-727-224,Honduras,1989,21,2,3
Boeing B-727-225,New York,1975,5,32,1
Boeing B-727-22QC,California,1969,14,43,1
Boeing B-727-23,near Covington,1965,18,1,1
Boeing B-727-230,Colombia,1998,20,12,1
Boeing B-727-232 Adv,Texas,1988,18,13,1
Boeing B-727-235,Florida,1978,11,12,2
Boeing B-727-235,Louisiana,1982,12,3,2
Boeing B-727-251,Thiells,1974,11,1,1
Boeing B-727-251 / MD Douglas DC-9-14,Michigan,1990,14,10,1
Boeing B-727-282,Island of Madeira,1977,7,1,1
Boeing B-727-2L5 / MiG23UB,Libya,1992,16,2,1
Boeing B-727-46,Colombia,1993,15,12,1
Boeing B-727-64,Nuevo Leon,1969,14,1,2
Boeing B-727-81,Alaska,1976,10,26,2
Boeing B-737-200,Pakistan,2005,14,4,1
Boeing B-737-204C,Argentina,1999,28,2,1
Boeing B-737-209,China,1989,21,12,1
Boeing B-737-219,Kyrgyzstan,2008,9,1,1
Boeing B-737-230,Ethiopia,1988,18,3,1
Boeing B-737-244,Peru,2005,14,8,1
Boeing B-737-247 / Boeing B-757-21B,China,1990,14,12,1
Boeing B-737-266,Malta,1985,16,1,1
Boeing B-737-291,Colorado,1991,13,11,1
Boeing B-737-297,Hawaii,1988,18,8,1
Boeing B-737-2A8,India,1988,18,8,3
Boeing B-737-2A8,India,1991,13,8,3
Boeing B-737-2A8,India,1993,15,8,3
Boeing B-737-2H6,San Vincente,1995,19,1,2
Boeing B-737-2K9,Cameroon,1995,19,2,1
Boeing B-737-2L9,Nigeria,2005,14,7,1
Boeing B-737-2P5,Thiland,1987,12,1,1
Boeing B-737-2P6,UAE,1983,11,1,1
Boeing B-737-2T4,Algeria,2003,20,3,1
Boeing B-737-300,Indonesia,1997,25,18,1
Boeing B-737-300 / Swearingen SA-227AC,Los Angeles,1991,13,2,1
Boeing B-737-31B,China,1997,25,12,1
Boeing B-737-3B7,Pennsylvania,1994,21,14,1
Boeing B-737-3Y0,Guangxi,1992,16,2,1
Boeing B-737-4D7,Thailand,2001,25,10,1
Boeing B-737-4Q8,Indonesia,2007,10,18,1
Boeing B-737-5L9,South Korea,1993,15,3,1
Boeing B-737-7H4,Illinois,2005,14,14,1
Boeing B-737-T43,Croatia,1996,20,1,1
Boeing B-747,Indonesia,1982,12,18,1
Boeing B-747-121,Pakistan,1986,9,4,2
Boeing B-747-121 / Boeing B-747-206B,Canary Islands,1977,7,2,1
Boeing B-747-130,Kenya,1974,11,3,1
Boeing B-747-168B / Ilyushin IL-76TD,India,1996,20,8,1
Boeing B-747-209B,Taiwan,2002,24,9,1
Boeing B-747-237B,110 miles West of Ireland,1985,16,1,2
Boeing B-747-237B,Maharashtra,1978,11,3,2
Boeing B-747-2R7F,Taiwan,1991,13,9,1
Boeing B-747-300,Guam,1997,25,3,1
Boeing B-747-SP-09,California,1985,16,43,1
Boeing B-757-223,Valle del Cauca,1995,19,1,2
Boeing B-757-225,Domincan Republic,1996,20,1,1
Boeing B-767-200ER,Comoros,1996,20,1,2
Boeing B-767-222,New York,2001,25,32,1
Boeing B-767-233ER,Manitoba,1983,11,1,1
Boeing B-767-3Z9ER,Thailand,1991,13,10,1
Boeing Vetrol 107 II helicopter,New York,1963,17,32,1
Bristol 170 Freighter,Madrid,1957,10,1,1
Bristol Britannia 312,Austria,1964,14,1,1
Bristol Britannia 314,Hawaii,1962,17,8,1
British Aerospace 146-300,China,1993,15,12,1
British Aerospace APT,Azores (Portugal),1999,28,1,1
British Aerospace ATP,Indonesia,1997,25,18,1
British Aerospace BAe-146-200A,California,1987,12,43,1
British Aerospace Jetstream 3201,North Carolina,1994,21,7,1
British Aerospace Jetstream 4101,Ohio,1994,21,9,1
British Aerospace Jetstream BA-3100,Minnesota,1993,15,6,1
Britten-Norman BN-2A-8 Islander,Alaska,1983,11,26,1
CASA  CN-235-200,Spain,2001,25,11,1
CASA 212,Indonesia,1995,19,18,1
CASA 212-200 Aviocar,Venezuela,1990,14,8,1
CASA 212-CC,Afghanstan,2004,18,1,1
Canadair CRJ-100ER,France,2003,20,17,1
Canadair CRJ200LR RegionalJet,Missouri,2004,18,9,1
Canadair DC-4M-2 Northstar,British Columbia,1956,10,8,1
Cessna 172H,Iowa,1969,14,8,1
Cessna 208 Caravan,Alaska,2001,25,26,1
Cessna 208B,Canada,2005,14,13,1
Cessna 208B Caravan I,Alaska,1997,25,26,3
Cessna 208B Caravan I,Colorado,1997,25,11,3
Cessna 208B Caravan I Super Cargomaster,Illinois,2002,24,14,5
Cessna 208B Caravan I Super Cargomaster,Tennesee,1998,20,3,5
Cessna 208B Caravan I Super Cargomaster,Wyoming,2003,20,8,5
Cessna 208B Grand Caravan,Canada,2003,20,13,4
Cessna 208B Grand Caravan,Costa Rica,2001,25,3,4
Cessna 208B Grand Caravan,off Pelee Island,2004,18,1,4
Cessna 208B Grand Caravan I,Costa Rica,2000,25,3,1
Cessna 402,VIC,1986,9,1,1
Convair CV-240-0,Japan,1964,14,10,5
Convair CV-240-0,Mississippi,1955,11,1,5
Convair CV-240-0,New Jersey,1952,7,5,5
Convair CV-240-0,New York,1953,11,32,5
Convair CV-240-0,Oklahoma,1957,10,3,5
Convair CV-240-2,Jordan,1959,17,1,1
Convair CV-340-32,Illinois,1955,11,14,1
Convair CV-340/440,Connecticut,1962,17,4,1
Convair CV-380,Ohio,1967,18,9,1
Convair CV-580,Connecticut,1971,12,4,7
Convair CV-580,Denmark,1989,21,1,7
Convair CV-580,New Zealand,1989,21,6,7
Convair CV-580,Ohio,2004,18,9,7
Convair CV-580,Pennsylvania,1968,17,14,7
Convair CV-580,Pennsylvania,1969,14,14,7
Convair CV-580/De Hav. Twin Otter 100,Wisconsin,1972,17,4,1
Convair CV-640,Canada,1969,14,13,1
Convair CV-880 / McDonnell DC-9-31,Illinois,1972,17,14,1
Convair CV-880-22-1,Covington/Hebron,1967,18,2,1
Convair CV-880-22M-21,Vietnam,1972,17,3,1
Curtiss C 46F-CU,Alaska,1951,12,26,1
Curtiss C-46,Colombia,1960,17,12,3
Curtiss C-46,Idaho,1953,11,1,3
Curtiss C-46E-1-CS,California,1949,6,43,1
De Havilland Dash-3,British Columbia,1995,19,8,1
Dornier 228-201,Cape Verde Islands,1999,28,1,2
Dornier 228-201,India,1998,20,8,2
Dornier 328-110,Italy,1999,28,16,1
Douglas C-47,Colombia,1962,17,12,2
Douglas C-47,Colombia,1965,18,12,2
Douglas C-47-DL,Illinois,1946,13,14,1
Douglas C-54A,Alberta,1948,7,1,3
Douglas C-54A,Washington,1947,11,11,3
Douglas C-54B,Queens,1947,11,2,3
Douglas C-54B / P-38,Virginia,1949,6,11,1
Douglas C-54B-10-DO,Washington,1953,11,11,1
Douglas DC 3-A-SB-3-G-14,California,1938,6,43,1
Douglas DC-2-112,Missouri,1935,3,9,6
Douglas DC-2-112,Oklahoma,1939,2,3,6
Douglas DC-2-112,Pennsylvania,1936,5,14,6
Douglas DC-2-112,Pennsylvania,1936,5,14,6
Douglas DC-2-120,Arkansas,1936,5,3,1
Douglas DC-3,Zimbabwe,1955,11,1,53
Douglas DC-3,Alabama,1946,13,5,53
Douglas DC-3,British Columbia,1950,7,8,53
Douglas DC-3,California,1944,4,43,53
Douglas DC-3,California,1945,9,43,53
Douglas DC-3,Chile,1961,14,4,53
Douglas DC-3,Ecuador,1958,9,4,53
Douglas DC-3,Indiana,1977,7,5,53
Douglas DC-3,Indonesia,1961,14,18,53
Douglas DC-3,Massachusett,1957,10,3,53
Douglas DC-3,Minnesota,1941,5,6,53
Douglas DC-3,Nevada,1942,6,5,53
Douglas DC-3,New Hampshire,1954,8,2,53
Douglas DC-3,New York,1945,9,32,53
Douglas DC-3,New York,1950,7,32,53
Douglas DC-3,Ontario,1941,5,3,53
Douglas DC-3,Philippines,1960,17,16,53
Douglas DC-3,Philippines,1963,17,16,53
Douglas DC-3,Philippines,1964,14,16,53
Douglas DC-3,Philippines,1966,18,16,53
Douglas DC-3,Tennessee,1944,4,4,53
Douglas DC-3,Texas,1953,11,13,53
Douglas DC-3,Utah,1940,3,9,53
Douglas DC-3,Virginia,1940,3,11,53
Douglas DC-3,Virginia,1959,17,11,53
Douglas DC-3,Wyoming,1937,6,8,53
Douglas DC-3 ( C-53D-DO),California,1946,13,43,1
Douglas DC-3 (C-50A-DO),Indiana,1946,13,5,1
Douglas DC-3 -201D/ F-6-F- 5 Hellcat,New Jersey,1949,6,5,1
Douglas DC-3 / Boeing B-34,California,1942,6,43,1
Douglas DC-3-194H,Wyoming,1946,13,8,1
Douglas DC-3-201E,Connecticut,1946,13,4,1
Douglas DC-3-201F,Maryland,1948,7,6,1
Douglas DC-3-227B,California,1946,13,43,1
Douglas DC-3-313A,D.C.,1949,6,2,1
Douglas DC-3A,Illinois,1940,3,14,5
Douglas DC-3A,Phillipines,1965,18,1,5
Douglas DC-3C,Alaska,1949,6,26,2
Douglas DC-4,18 NNW of Benton Harbor,1950,7,1,8
Douglas DC-4,BC,1952,7,1,8
Douglas DC-4,Puerto Rico,1952,7,5,8
Douglas DC-4  (C-54-10-DO),California,1953,11,43,1
Douglas DC-4 (C-54G-1-DO),Alaska,1948,7,26,1
Douglas DC-4A,Alaska,1947,11,26,1
Douglas DC-6,Pennsylvania,1948,7,14,5
Douglas DC-6,Texas,1949,6,13,5
Douglas DC-6-54B,Colombia,1966,18,12,1
Douglas DC-6A,325 miles east of Wake Island,1953,11,1,4
Douglas DC-6A,Washington,1965,18,11,4
Douglas DC-6B,Bolivia,1963,17,2,11
Douglas DC-6B,British Columbia,1965,18,8,11
Douglas DC-6B,California,1951,12,43,11
Douglas DC-6B,Colorado,1955,11,11,11
Douglas DC-6B,New York,1954,8,32,11
Douglas DC-7,Oregon,1979,12,3,1
Douglas DC-7 / F-100F,10 miles SW of Las Vegas,1958,9,1,1
Douglas DC-7B,New York,1962,17,32,3
Douglas DC-7B,New York,1965,18,32,3
Douglas DC-7C,Philippines,1960,17,16,2
Douglas DST-A-207A,Ohio,1938,6,9,2
EC-121H (Super Constellation),Massachusetts,1965,18,6,2
Embraer 110 Bandeirante,Vermont,2006,11,1,1
Embraer 110P1 Bandeirante,Fiji,1999,28,1,5
Embraer 120-RT Brasilia,GA,1995,19,1,1
Embraer 120RT- Brasilia,Georgia,1991,13,6,1
Embraer EMB-120 Brasilia,Spain,2002,24,11,1
Enstrom F-28F,New York,1986,9,32,1
Fairchild F-27,Utah,1963,17,9,2
Fairchild F-27A,Nevada,1964,14,5,2
Fairchild F-27B,Alaska,1975,5,26,2
Fairchild F-27J,Chile,1982,12,4,1
Fairchild FH-227B,France,1988,18,17,2
Fairchild-Hiller FH-227-B,New York,1972,17,32,1
Fairchild-Hiller FH-227B,Glen Falls,1969,14,1,3
Fairchild-Hiller FH227C,New Hampshire,1968,17,2,1
Fokker 28 Fellowship 1000,Peru,2003,20,8,1
Fokker 50,Malaysia,1995,19,1,2
Fokker F-27 Friendship 100,Philippines,1967,18,16,2
Fokker F-27 Friendship 100,Philippines,1967,18,16,2
Fokker F-27 Friendship 400M,Ivory Coast,1994,21,2,1
Fokker F-27 Friendship 600,Ghana,2000,25,1,4
Fokker F-27 Friendship 600,Indonesia,1997,25,18,4
Fokker F-28 Fellowship 1000,Indonesia,1979,12,18,3
Fokker F-28 Fellowship 1000,Ontario,1989,21,3,3
Fokker F-50,United Arab Emirates,2004,18,3,1
Ford 5-AT-C Tri Motor,California,1930,1,43,1
Grumman G-159 Gulfstream I,Maine,2000,25,3,2
Grumman G-159 Gulfstream I,Tennessee,1985,16,4,2
Hadley Page 137Jetstream I / Cessna 206,Colorado,1981,6,11,1
Hawker Siddeley HS-121 Trident 2E,Hong Kong,1988,18,1,1
Hawker Siddeley HS-748-2,Thailand,1980,7,10,1
Hawker Siddeley HS-748-234 Srs. 2A,Canada,1993,15,13,1
Hawker Siddeley HS-748-501 Super 2B,Nepal,1999,28,6,1
Hawker Siddeley HS-748-FAA,Illinois,1983,11,14,1
Hawker Siddeley Trident 1C,Staines,1972,17,1,1
Hawker Siddeley Trident 2E,Guangxi,1982,12,2,1
Ilyushin 18V,Russia,2001,25,25,1
Ilyushin IL- 76TD,Russia,2001,25,25,1
Ilyushin IL-18,Newfoundland,1967,18,4,2
Ilyushin IL-18V,Russia,1973,15,25,1
Ilyushin IL-62,Poland,1980,7,3,2
Ilyushin IL-62,Syria,1975,5,2,2
Ilyushin IL-62M,Poland,1987,12,3,1
Ilyushin P-14,Russia,1957,10,25,1
LET 410UVP-E,Guatemala,2001,25,2,1
Learjet 24D,Texas,2001,25,13,1
Learjet 25B,Texas,2003,20,13,1
Let 410UVP-E20,Kenya,2002,24,3,1
Lockheed 049 Constellation,Bulgaria,1955,11,1,4
Lockheed 049 Constellation,Liberia,1951,12,2,4
Lockheed 1011-200 TriStar,Saudi Arabia,1980,7,3,1
Lockheed 1049C Super Constellation,Indonesia,1957,10,18,1
Lockheed 1049C-55-81 S Constellation,Ireland,1954,8,4,1
Lockheed 1049G Super Constellation,Senegal,1960,17,1,1
Lockheed 1049H Super Constellation,California,1962,17,43,4
Lockheed 1049H Super Constellation,Philippine Sea,1962,17,1,4
Lockheed 14-H Super Electra,Montana,1939,2,8,1
Lockheed 1649A Starliner,Lombardia,1959,17,1,2
Lockheed 18 Loadstar,British Columbia,1947,11,8,1
Lockheed 188A Electra,Guam,1976,10,3,4
Lockheed 188A Electra,Massachusett,1960,17,3,4
Lockheed 188C  Electra,Illinois,1961,14,14,1
Lockheed 188C Electra,10 mile SE of Tell City,1960,17,1,2
Lockheed 749-79-34 Constellation,Venezuela,1956,10,8,1
Lockheed 749A Constellation,Egypt,1950,7,6,3
Lockheed 749A Constellation,New York,1953,11,32,3
Lockheed 749A-79-32 Constellation,Alaska,1960,17,26,1
Lockheed 749C-79-12 Constellation,Florida,1955,11,12,1
Lockheed L-100-30 Hercules,Italy,2006,11,16,2
Lockheed L-100-30 Hercules,Texas,1986,9,13,2
Lockheed L-1011,FL - Nassau,1983,11,1,2
Lockheed L-1011,New York,1992,16,32,2
Lockheed L-1011-1 TriStar,Texas,1985,16,13,1
Lockheed L-1049H Super Constellation,Illinois,1959,17,14,1
Lockheed L-188C Electra,Indonesia,1967,18,18,2
Lockheed L188A Electra,Texas,1968,17,13,1
Lockheed MC-130H Hercules,Puerto Rico,2002,24,5,1
MD Douglas DC-9-15 / Beechcraft Baron-55,Ohio,1967,18,9,1
MD Douglas DC-9-31/Piper Cherokee PA-28,Indiana,1969,14,5,1
MD Douglas DC-9-32 / Piper PA-28-181,California,1986,9,43,1
MH-47 Chinook helicopter,Philippines,2002,24,16,1
Martin 202,Minnesota,1948,7,6,6
Martin 202,Minnesota,1950,7,6,6
Martin 202,Montana,1950,7,8,6
Martin 202,Pennsylvania,1959,17,14,6
Martin 202,Washington,1951,12,11,6
Martin 404,Georgia,1970,13,6,5
Martin 404,New York,1963,17,32,5
Martin 404,near Silver Plume,1970,13,1,5
Martin M-130 (flying boat),Trinidad,1945,9,1,3
McDonnell DC-9-32,Nigeria,2005,14,7,1
McDonnell Douglas DC-10-10,New Mexico,1973,15,1,6
McDonnell Douglas DC-10-10,Iowa,1989,21,8,6
McDonnell Douglas DC-10-30,New York,1984,5,32,6
McDonnell Douglas DC-10-30CF,Boston,1982,12,1,3
McDonnell Douglas DC-8 Super 61,Saudi Arabia,1991,13,3,1
McDonnell Douglas DC-8 Super 62,Surinam,1989,21,1,1
McDonnell Douglas DC-8 Super 63PF,Newfoundland,1985,16,4,1
McDonnell Douglas DC-8-21,New York (Idlewild),1961,14,1,2
McDonnell Douglas DC-8-43,Japan,1966,18,10,4
McDonnell Douglas DC-8-53,Portugal,1961,14,2,2
McDonnell Douglas DC-8-54F37,Michigan,1983,11,10,1
McDonnell Douglas DC-8-61,Oregon,1978,11,3,3
McDonnell Douglas DC-8-61F,Florida,1997,25,12,1
McDonnell Douglas DC-8-62,California,1969,14,43,3
McDonnell Douglas DC-8-63,Canada,1970,13,13,1
McDonnell Douglas DC-8-63CF,Alaska,1970,13,26,2
McDonnell Douglas DC-8-63CF,New York,1970,13,32,2
McDonnell Douglas DC-8-63F,Ohio,1992,16,9,2
McDonnell Douglas DC-8-63F,Virginia,1996,20,11,2
McDonnell Douglas DC-8-71F,California,2000,25,43,1
McDonnell Douglas DC-8F-55,Ecuador,1984,5,4,1
McDonnell Douglas DC-9-14,Colombia,1995,19,12,5
McDonnell Douglas DC-9-14,Oregon,1966,18,3,5
McDonnell Douglas DC-9-15,off Ustica,1980,7,1,1
McDonnell Douglas DC-9-15RC,Ohio,1991,13,9,1
McDonnell Douglas DC-9-30,North Carolina,1994,21,7,1
McDonnell Douglas DC-9-31,Mexico,1999,28,7,6
McDonnell Douglas DC-9-31,North Carolina,1974,11,7,6
McDonnell Douglas DC-9-31,West Virginia,1970,13,5,6
McDonnell Douglas DC-9-31 / F4-B,California,1971,12,43,1
McDonnell Douglas DC-9-31 / Trident 3B,Hrvatska,1976,10,1,1
McDonnell Douglas DC-9-32,Covington/Hebron,1983,11,2,12
McDonnell Douglas DC-9-32,Georgia,1995,19,6,12
McDonnell Douglas DC-9-32,Philippines,1998,20,16,12
McDonnell Douglas DC-9-32,Sicily,1978,11,2,12
McDonnell Douglas DC-9-32,Uruguay,1997,25,1,12
McDonnell Douglas DC-9-32,Zulia,1969,14,1,12
McDonnell Douglas DC-9-33CF,US Virgin Islands,1970,13,1,1
McDonnell Douglas MD-11,Alaska,1993,15,26,4
McDonnell Douglas MD-82,China,1993,15,12,8
McDonnell Douglas MD-82,China,2002,24,12,8
McDonnell Douglas MD-82,Michigan,1987,12,10,8
McDonnell Douglas MD-82,Spain,2008,9,11,8
McDonnell Douglas MD-83,Turkey,2007,10,8,2
McDonnell-Douglas MD-82,Indonesia,2004,18,18,1
Mitsubishi MU-2B-60,Iowa,1993,15,8,1
NAMC YS-11A-227,Japan,1971,12,10,1
Pilatus PC-6,Indonesia,2009,6,18,1
Piper PA-24-250 Comanche,Tennesee,1963,17,3,1
Piper PA-31-350,South Africa,1999,28,3,2
Piper PA-31-350 Navajo,Alaska,2000,25,26,4
Piper PA-31-350 Navajo,Arizona,1995,19,3,4
Piper PA-31-350 Navajo,Australia,2000,25,2,4
Piper PA-31-350 Navajo,England,2000,25,7,4
Piper PA-31-350 Navajo Chieftain,Hawaii,2000,25,8,4
Piper PA-31-350 Navajo Chieftain,New Zealand,2003,20,6,4
Saab 340B,Netherlands,1994,21,4,2
Saab340B,Taiwan,1998,20,9,1
Sikorsky S-42 (flying boat),Cuba,1944,4,4,2
Sikorsky S-76A,Norfork,2002,24,1,1
Sirkorsky 44A (flying boat),Newfoundland,1942,6,4,1
Stinson  SM-6000B,Missouri,1934,1,9,1
Stinson AT-19,Alaska,1956,10,26,1
Sud Aviation SE-210 Caravelle VIR,Ecuador,1983,11,4,1
Sud-Aviation Caravelle III,Morrocco,1961,14,1,2
Sud-Aviation Caravelle VI-R,Spain,1972,17,11,1
Swearingen 226TC Metro II,Nebraska,1980,7,2,1
Swearingen SA-226T Metro II,Kenya,2003,20,3,1
Swearingen SA.227AC Metro,Colorado,1988,18,11,1
Swearingen SA.227AC Metro III,Spain,2002,24,11,2
Tupolev 154B-2,Russia,2004,18,25,1
Tupolev TU-104B,Russia,1973,15,25,1
Tupolev TU-134,Cambodia,1997,25,2,1
Tupolev TU-134A,Russia,1992,16,25,3
Tupolev TU-134A / Tupolev Tu-134A,Ukraine,1979,12,2,1
Tupolev TU-154,China,1999,28,12,3
Tupolev TU-154,Iran,2002,24,2,3
Tupolev TU-154B,Russia,1995,19,25,3
Tupolev TU-154B-2,Uzbekistan,1985,16,2,1
Tupolev TU-154M,China,1994,21,12,5
Tupolev TU-154M,Norway,1996,20,4,5
Tupolev TU-154M,Russia,2001,25,25,5
Tupolev TU-154M,Siberia,1994,21,1,5
Tupolev TU-154M / Boeing B-757-23APF,Germany,2002,24,4,1
Tupolev Tu-154M,Russia,2001,25,25,2
Vickers 813 Viscount,England,1994,21,7,1
Vickers 952F Vanguard,France,1989,21,17,1
Vickers Viscount,Michigan,1956,10,10,1
Vickers Viscount 701C,Italy,1958,9,16,1
Vickers Viscount 739B,Italy,1960,17,16,1
Vickers Viscount 745D,Tennesee,1964,14,3,5
Vickers Viscount 745D / T-33A,Maryland,1958,9,6,1
Vickers Viscount 754D,Turkey,1963,17,8,1
Vickers Viscount 785D,Italy,1964,14,16,2
Vickers Viscount 803,Ireland,1968,17,4,1
Vickers Viscount 832,Australia,1966,18,2,1
Vickers Viscount 837,Russia,1960,17,25,1
Yakovlev 42D,Turkey,2003,20,8,1
Yakovlev YAK-40,Uzbekistan,2004,18,2,3
Yakovlev YAK-40,Vietnam,1992,16,3,3
Yakovlev YAK-42,Greece,1997,25,5,2
Yakovlev YAK-42D,Macedonia,1993,15,2,3
Zeppelin LZ-129,New Jersey,1937,6,5,1
de Havilland Can. DHC-6 -300/ Bell 206B,Arizona,1986,9,3,1
de Havilland Canada DHC-6 Twin Otter 200,California,1968,17,43,2
de Havilland Canada DHC-6 Twin Otter 300,Canada,1996,20,13,13
de Havilland Canada DHC-6 Twin Otter 300,Coloado,1978,11,1,13
de Havilland Canada DHC-6 Twin Otter 300,Colombia,1996,20,12,13
de Havilland Canada DHC-6 Twin Otter 300,Massachusetts,1979,12,6,13
de Havilland Canada DHC-6 Twin Otter 300,New Jersey,1976,10,5,13
de Havilland Canada DHC-6 Twin Otter 300,Norway,1982,12,4,13
de Havilland Canada DHC-6 Twin Otter 300,Norway,1990,14,4,13
de Havilland Canada DHC-6 Twin Otter 300,Tusayan,1989,21,1,13
de Havilland Canada DHC-8-102,New Zealand,1995,19,6,1
de Havilland Canada DHC-8-103,Thailand,1990,14,10,1
de Havilland Comet 4C,Thailand,1962,17,10,2
de Havilland DH-114 Heron,Virgin Islands,1979,12,3,1
de Havilland DH106 Comet 1,Italy,1954,8,16,3
de Havilland DH106 Comet 1,Italy,1954,8,16,3
de Havilland DHC-6 Twin Otter 300,Molokai,1989,21,1,2
de Havilland DHC-6-200,Maine,1979,12,3,1
de Havilland Dash-2 Beaver,British Columbia,1998,20,8,1
